Batch,Data_Wait_Time_ms,Compute_Time_ms,Total_Time_ms,Stall_Percentage
0,1542.00927734375,4601.42138671875,6143.4306640625,25.10013316116857
1,27.490463256835938,490.58551025390625,518.0759735107422,5.3062609853429015
2,14.173983573913574,405.0440368652344,419.21802043914795,3.381053027984281
3,6.745344161987305,434.10357666015625,440.84892082214355,1.5300806792058932
4,6.839839935302734,419.86993408203125,426.709774017334,1.6029255366962567
5,6.907455921173096,451.0649719238281,457.9724278450012,1.5082689483461424
6,7.800928115844727,414.59515380859375,422.3960819244385,1.8468277641931863
7,6.921343803405762,443.3733215332031,450.2946653366089,1.5370699091520101
8,7.421696186065674,409.97698974609375,417.3986859321594,1.7780832657609122
9,7.477280139923096,410.1981201171875,417.6754002571106,1.790213197933196
10,7.380032062530518,406.684814453125,414.0648465156555,1.7823372654388043
11,15.7456636428833,432.34039306640625,448.08605670928955,3.5139820592763535
12,7.669312000274658,403.0364990234375,410.70581102371216,1.8673492788325485
13,6.673471927642822,470.41912841796875,477.0926003456116,1.3987791725984597
14,6.616288185119629,408.8523254394531,415.46861362457275,1.592488088907304
15,8.014656066894531,426.8062438964844,434.8208999633789,1.8432085641627471
16,9.018112182617188,393.31134033203125,402.32945251464844,2.24147452448534
17,14.355744361877441,419.02392578125,433.37967014312744,3.3125098731872518
18,15.76899242401123,416.2698669433594,432.0388593673706,3.6499014109752954
19,17.012575149536133,429.5284423828125,446.54101753234863,3.8098572094340013
20,16.982559204101562,461.5964660644531,478.5790252685547,3.5485381321448
21,22.627647399902344,577.3621215820312,599.9897689819336,3.771338874377321
22,20.260480880737305,470.5968017578125,490.8572826385498,4.127570598897769
23,15.021568298339844,426.5157165527344,441.5372848510742,3.4021064163146395
24,14.049792289733887,460.8117370605469,474.86152935028076,2.9587135241208564
25,31.856224060058594,487.8021545410156,519.6583786010742,6.130224272687737
26,8.101119995117188,487.56890869140625,495.67002868652344,1.6343776154036094
27,15.001567840576172,451.1705322265625,466.1721000671387,3.2180321041125426
