Batch,Data_Wait_Time_ms,Compute_Time_ms,Total_Time_ms,Stall_Percentage
0,2.603679895401001,6291.376953125,6293.980633020401,0.041367777360819875
1,2.0767359733581543,637.3572387695312,639.4339747428894,0.3247772335201912
2,2.107167959213257,636.4646606445312,638.5718286037445,0.3299813528919119
3,2.0983359813690186,566.837158203125,568.935494184494,0.3688179069187361
4,6.791679859161377,598.8718872070312,605.6635670661926,1.1213617969560183
5,2.093280076980591,485.5251159667969,487.61839604377747,0.4292865269161544
6,2.205120086669922,497.3740539550781,499.57917404174805,0.44139551871824984
7,2.1040639877319336,491.36419677734375,493.4682607650757,0.426382840604537
8,6.222464084625244,708.3848876953125,714.6073517799377,0.8707528783640953
9,13.307104110717773,544.264892578125,557.5719966888428,2.3866162916614164
10,2.21891188621521,464.498046875,466.7169587612152,0.47542988197916847
11,2.084320068359375,485.7780456542969,487.86236572265625,0.4272352644524922
12,2.084127902984619,553.3731689453125,555.4572968482971,0.37520938419750793
13,14.201855659484863,618.5917358398438,632.7935914993286,2.244310917535569
14,2.139552116394043,566.713623046875,568.853175163269,0.3761167573302128
15,2.147615909576416,591.4876098632812,593.6352257728577,0.36177366442168596
16,6.130303859710693,585.88916015625,592.0194640159607,1.035490255358466
17,2.12060809135437,611.5255126953125,613.6461207866669,0.3455750830194845
18,2.0670080184936523,619.8428955078125,621.9099035263062,0.3323645445704371
19,2.1336638927459717,559.2057495117188,561.3394134044647,0.3801022771241955
20,4.03331184387207,600.6768798828125,604.7101917266846,0.6669826139948766
21,2.105952024459839,596.8978881835938,599.0038402080536,0.3515757133924839
22,2.1248960494995117,536.8944091796875,539.019305229187,0.3942152032191169
23,2.1023359298706055,531.3930053710938,533.4953413009644,0.394068282722754
24,2.119488000869751,656.59375,658.7132380008698,0.32176186519375105
25,104.8779525756836,622.2695922851562,727.1475448608398,14.423201084417462
26,2.2100799083709717,693.2265625,695.436642408371,0.31779744891169814
27,11.809696197509766,585.6150512695312,597.424747467041,1.976767157299805
28,7.306272029876709,600.5799560546875,607.8862280845642,1.2019143866605775
29,2.1540799140930176,539.5726928710938,541.7267727851868,0.39763216852255967
30,2.4738879203796387,584.6764526367188,587.1503405570984,0.4213380712735977
31,2.2374720573425293,700.0389404296875,702.27641248703,0.3186027634644289
32,8.648415565490723,706.0985717773438,714.7469873428345,1.2099967846863322
33,2.333087921142578,704.5875244140625,706.9206123352051,0.330035350565826
34,2.6602559089660645,815.1017456054688,817.7620015144348,0.3253093080920203
35,2.3051838874816895,663.1897583007812,665.4949421882629,0.34638638723561815
36,2.2354559898376465,521.7708740234375,524.0063300132751,0.42660858501098897
37,2.2669761180877686,523.8917846679688,526.1587607860565,0.43085400967210213
38,2.2736001014709473,474.02508544921875,476.2986855506897,0.4773475490158541
39,2.1858561038970947,384.7090759277344,386.89493203163147,0.5649740854497378
40,2.238464117050171,449.133056640625,451.37152075767517,0.4959249784507163
41,2.1516480445861816,443.637939453125,445.7895874977112,0.48266000483854476
42,3.987231969833374,398.0500183105469,402.03725028038025,0.9917568501557216
43,2.229599952697754,451.38323974609375,453.6128396987915,0.49152046802252225
44,2.2435519695281982,432.8232727050781,435.0668246746063,0.5156798547455756
45,2.229952096939087,463.3812561035156,465.6112082004547,0.478930072486367
46,2.2428159713745117,376.928955078125,379.1717710494995,0.5915039416480505
47,2.4707839488983154,459.8565673828125,462.3273513317108,0.5344230536612956
48,2.314687967300415,439.5618591308594,441.8765470981598,0.5238313693046541
49,2.2778561115264893,452.8775634765625,455.155419588089,0.5004567700386663
50,5.841536045074463,447.4472961425781,453.2888321876526,1.2887006319750192
51,3.1903998851776123,460.4398193359375,463.6302192211151,0.6881345850443892
52,2.2960000038146973,454.7796630859375,457.0756630897522,0.502323835903696
53,2.269023895263672,456.6422424316406,458.9112663269043,0.4944363021254175
54,2.284480094909668,492.0021667480469,494.28664684295654,0.46217718190463014
55,2.208224058151245,472.74847412109375,474.956698179245,0.46493165937368847
56,2.3205759525299072,432.71051025390625,435.03108620643616,0.5334276161195339
57,2.275520086288452,396.87091064453125,399.1464307308197,0.5700965638405119
58,2.129024028778076,473.62408447265625,475.7531085014343,0.4475060679023724
59,2.276031970977783,462.2263488769531,464.5023808479309,0.48999360709905854
60,2.2313599586486816,401.5046081542969,403.73596811294556,0.5526780210041767
61,2.2047359943389893,395.4354553222656,397.6401913166046,0.5544550179998176
62,2.208479881286621,419.8861389160156,422.09461879730225,0.5232191510944552
63,5.883135795593262,442.7464599609375,448.62959575653076,1.311357041809166
64,2.5470080375671387,407.7734375,410.32044553756714,0.6207363209089579
65,2.276927947998047,454.7591857910156,457.0361137390137,0.4981943175935252
66,2.256256103515625,433.5421447753906,435.79840087890625,0.5177293213938531
67,2.2771201133728027,415.4263000488281,417.7034201622009,0.5451523744978101
68,2.2665600776672363,377.7350158691406,380.00157594680786,0.5964607046746845
69,2.2932798862457275,416.821044921875,419.1143248081207,0.5471728715776152
70,2.3211519718170166,425.6393737792969,427.9605257511139,0.5423752500871806
71,2.298624038696289,380.89111328125,383.1897373199463,0.5998657622651936
72,2.245120048522949,471.2223815917969,473.4675016403198,0.4741867268069657
73,2.2115840911865234,473.98895263671875,476.2005367279053,0.46442284722795124
74,2.2217280864715576,428.6971740722656,430.9189021587372,0.5155791670640482
75,2.1845760345458984,383.0494689941406,385.2340450286865,0.5670776149556624
76,2.0694398880004883,381.47589111328125,383.54533100128174,0.5395554894640531
77,2.1147520542144775,387.6788024902344,389.79355454444885,0.5425313039580618
78,2.0680959224700928,386.8967590332031,388.9648549556732,0.5316922328897234
79,2.11843204498291,402.5980529785156,404.71648502349854,0.5234360653384085
80,2.117759943008423,397.1257629394531,399.24352288246155,0.5304431560263276
81,2.1231679916381836,381.6710205078125,383.7941884994507,0.5532048309379813
82,2.007904052734375,350.33697509765625,352.3448791503906,0.5698689470316796
83,2.00380802154541,335.0143127441406,337.01812076568604,0.594569816303311
84,2.0479679107666016,328.5241394042969,330.5721073150635,0.619522296481812
85,2.023103952407837,323.9652099609375,325.98831391334534,0.6206062812870099
86,2.0245440006256104,323.0636901855469,325.0882341861725,0.6227675405398365
87,2.0206079483032227,328.0285339355469,330.0491418838501,0.6122142711143025
88,2.005824089050293,323.5224304199219,325.52825450897217,0.6161751126874945
89,2.0157439708709717,337.5985412597656,339.6142852306366,0.5935392174395883
90,2.0060479640960693,332.0721740722656,334.0782220363617,0.6004725336085294
91,2.003648042678833,325.6619873046875,327.66563534736633,0.6114916630041832
92,2.026144027709961,326.1592102050781,328.1853542327881,0.6173779547373642
93,2.016511917114258,325.8974914550781,327.9140033721924,0.614951449580351
94,2.0195200443267822,324.4632568359375,326.4827768802643,0.6185686312841642
95,2.016416072845459,326.7134094238281,328.7298254966736,0.6133961437173772
96,2.0239040851593018,324.0697326660156,326.0936367511749,0.6206512047653471
